image,xml
Pascal_tomato\train\022_11_jpg.rf.17a1d144fd4260583cac277b0401177d.jpg,Pascal_tomato\train\022_11_jpg.rf.17a1d144fd4260583cac277b0401177d.xml
Pascal_tomato\train\022_11_jpg.rf.48cb310c63db999a2623709a2dd7a51a.jpg,Pascal_tomato\train\022_11_jpg.rf.48cb310c63db999a2623709a2dd7a51a.xml
Pascal_tomato\train\022_1_jpg.rf.1b01f5b696011f4f89f867aa3c227beb.jpg,Pascal_tomato\train\022_1_jpg.rf.1b01f5b696011f4f89f867aa3c227beb.xml
Pascal_tomato\train\022_1_jpg.rf.c0d9b04ba9a7c817df6be4f392921c00.jpg,Pascal_tomato\train\022_1_jpg.rf.c0d9b04ba9a7c817df6be4f392921c00.xml
Pascal_tomato\train\022_2_jpg.rf.1e44cb3e8b445b71022a4790df41c9f2.jpg,Pascal_tomato\train\022_2_jpg.rf.1e44cb3e8b445b71022a4790df41c9f2.xml
Pascal_tomato\train\022_2_jpg.rf.7f814d85086a252c92fd9ac74bf26d2c.jpg,Pascal_tomato\train\022_2_jpg.rf.7f814d85086a252c92fd9ac74bf26d2c.xml
Pascal_tomato\train\022_3_jpg.rf.626ca1eeb413f861c69d871032ea5441.jpg,Pascal_tomato\train\022_3_jpg.rf.626ca1eeb413f861c69d871032ea5441.xml
Pascal_tomato\train\022_3_jpg.rf.e0c73eef22052a135a2fda0cbfb01266.jpg,Pascal_tomato\train\022_3_jpg.rf.e0c73eef22052a135a2fda0cbfb01266.xml
Pascal_tomato\train\022_6_jpg.rf.2f3425bde5cd73a35dd5f68dcd99fdfa.jpg,Pascal_tomato\train\022_6_jpg.rf.2f3425bde5cd73a35dd5f68dcd99fdfa.xml
Pascal_tomato\train\022_6_jpg.rf.931ec4f48f2ad41b2b24d46fa0cb2829.jpg,Pascal_tomato\train\022_6_jpg.rf.931ec4f48f2ad41b2b24d46fa0cb2829.xml
Pascal_tomato\train\022_7_jpg.rf.095c1247c3ed9866e25f9d6851884fcc.jpg,Pascal_tomato\train\022_7_jpg.rf.095c1247c3ed9866e25f9d6851884fcc.xml
Pascal_tomato\train\022_7_jpg.rf.53b0f3463b4338978a43ba1a14940e00.jpg,Pascal_tomato\train\022_7_jpg.rf.53b0f3463b4338978a43ba1a14940e00.xml
Pascal_tomato\train\022_8_jpg.rf.52be62174abce68f3a12560f02c7865f.jpg,Pascal_tomato\train\022_8_jpg.rf.52be62174abce68f3a12560f02c7865f.xml
Pascal_tomato\train\022_8_jpg.rf.9e5df9e994c7ce726d7779fed388b1a4.jpg,Pascal_tomato\train\022_8_jpg.rf.9e5df9e994c7ce726d7779fed388b1a4.xml
Pascal_tomato\train\023_14_jpg.rf.6e1f0f11c21ada2b2e6a246a45b8dd24.jpg,Pascal_tomato\train\023_14_jpg.rf.6e1f0f11c21ada2b2e6a246a45b8dd24.xml
Pascal_tomato\train\023_1_jpg.rf.b49c950751826fc268355f3490318a81.jpg,Pascal_tomato\train\023_1_jpg.rf.b49c950751826fc268355f3490318a81.xml
Pascal_tomato\train\023_1_jpg.rf.b816b6e11e833dff7381bf7d67b125e5.jpg,Pascal_tomato\train\023_1_jpg.rf.b816b6e11e833dff7381bf7d67b125e5.xml
Pascal_tomato\train\023_2_jpg.rf.076dc3874833b4d18c909286e14e57a4.jpg,Pascal_tomato\train\023_2_jpg.rf.076dc3874833b4d18c909286e14e57a4.xml
Pascal_tomato\train\023_2_jpg.rf.51aaef64200fb22d1697b3a67ea03cf7.jpg,Pascal_tomato\train\023_2_jpg.rf.51aaef64200fb22d1697b3a67ea03cf7.xml
Pascal_tomato\train\023_4_jpg.rf.ae5b508d422394bf7919c49c30d4d4fc.jpg,Pascal_tomato\train\023_4_jpg.rf.ae5b508d422394bf7919c49c30d4d4fc.xml
Pascal_tomato\train\024_13_jpg.rf.571b28ad4c1290fcdf08fb0c97af3321.jpg,Pascal_tomato\train\024_13_jpg.rf.571b28ad4c1290fcdf08fb0c97af3321.xml
Pascal_tomato\train\024_13_jpg.rf.7b5be7028a48670e675e231d41876d98.jpg,Pascal_tomato\train\024_13_jpg.rf.7b5be7028a48670e675e231d41876d98.xml
Pascal_tomato\train\024_16_jpg.rf.0d451c46f0c154ad8c2821fe6ac02176.jpg,Pascal_tomato\train\024_16_jpg.rf.0d451c46f0c154ad8c2821fe6ac02176.xml
Pascal_tomato\train\024_17_jpg.rf.2cb430c47242fc1dca862e4543033323.jpg,Pascal_tomato\train\024_17_jpg.rf.2cb430c47242fc1dca862e4543033323.xml
Pascal_tomato\train\024_17_jpg.rf.3828f43767299ea9c94cce3747fb3f97.jpg,Pascal_tomato\train\024_17_jpg.rf.3828f43767299ea9c94cce3747fb3f97.xml
Pascal_tomato\train\024_1_jpg.rf.a444681454185ac79aa20f2b7ab90453.jpg,Pascal_tomato\train\024_1_jpg.rf.a444681454185ac79aa20f2b7ab90453.xml
Pascal_tomato\train\024_21_jpg.rf.9984e2927fd13222f105b3d7d06dbd12.jpg,Pascal_tomato\train\024_21_jpg.rf.9984e2927fd13222f105b3d7d06dbd12.xml
Pascal_tomato\train\024_21_jpg.rf.cca1d3df8d631b0ea13ab7cdaf3fde89.jpg,Pascal_tomato\train\024_21_jpg.rf.cca1d3df8d631b0ea13ab7cdaf3fde89.xml
Pascal_tomato\train\024_2_jpg.rf.32e5d661bd5632338c103ccb1ca3d934.jpg,Pascal_tomato\train\024_2_jpg.rf.32e5d661bd5632338c103ccb1ca3d934.xml
Pascal_tomato\train\024_7_jpg.rf.40f7dc28ad18f81e8f6134ec0264244e.jpg,Pascal_tomato\train\024_7_jpg.rf.40f7dc28ad18f81e8f6134ec0264244e.xml
Pascal_tomato\train\024_7_jpg.rf.f0f85942eda0b7399fa618f3bf8e8882.jpg,Pascal_tomato\train\024_7_jpg.rf.f0f85942eda0b7399fa618f3bf8e8882.xml
Pascal_tomato\train\024_8_jpg.rf.34495b2bb30599a6637ddda5cf75db0a.jpg,Pascal_tomato\train\024_8_jpg.rf.34495b2bb30599a6637ddda5cf75db0a.xml
Pascal_tomato\train\024_8_jpg.rf.97149f238c95a5d66ea15affac1971fc.jpg,Pascal_tomato\train\024_8_jpg.rf.97149f238c95a5d66ea15affac1971fc.xml
Pascal_tomato\train\025_12_jpg.rf.134c195dad1603b3a8ee31b9c50cb183.jpg,Pascal_tomato\train\025_12_jpg.rf.134c195dad1603b3a8ee31b9c50cb183.xml
Pascal_tomato\train\025_12_jpg.rf.4ca6ca44518807321513094c5ed6e91b.jpg,Pascal_tomato\train\025_12_jpg.rf.4ca6ca44518807321513094c5ed6e91b.xml
Pascal_tomato\train\025_16_jpg.rf.399a7a35519bceac6b9465297bca5a82.jpg,Pascal_tomato\train\025_16_jpg.rf.399a7a35519bceac6b9465297bca5a82.xml
Pascal_tomato\train\025_23_jpg.rf.b6169f71e9e409a5679e399a2274c096.jpg,Pascal_tomato\train\025_23_jpg.rf.b6169f71e9e409a5679e399a2274c096.xml
Pascal_tomato\train\025_24_jpg.rf.2c3c2e885c9ad3c7c810843d4661cee8.jpg,Pascal_tomato\train\025_24_jpg.rf.2c3c2e885c9ad3c7c810843d4661cee8.xml
Pascal_tomato\train\025_24_jpg.rf.802d55d2a8861bb03a6e01f4be011805.jpg,Pascal_tomato\train\025_24_jpg.rf.802d55d2a8861bb03a6e01f4be011805.xml
Pascal_tomato\train\025_3_jpg.rf.93d127f0b46af033999b1a90f54573b3.jpg,Pascal_tomato\train\025_3_jpg.rf.93d127f0b46af033999b1a90f54573b3.xml
Pascal_tomato\train\025_3_jpg.rf.9885224675011814810919980a723103.jpg,Pascal_tomato\train\025_3_jpg.rf.9885224675011814810919980a723103.xml
Pascal_tomato\train\025_4_jpg.rf.3827528897368979997cd37d19b7120f.jpg,Pascal_tomato\train\025_4_jpg.rf.3827528897368979997cd37d19b7120f.xml
Pascal_tomato\train\025_6_jpg.rf.3bc8649f949e2eacdc3f142bc87487fe.jpg,Pascal_tomato\train\025_6_jpg.rf.3bc8649f949e2eacdc3f142bc87487fe.xml
Pascal_tomato\train\025_6_jpg.rf.dc2133b696440d9cdb2bc319029ebae2.jpg,Pascal_tomato\train\025_6_jpg.rf.dc2133b696440d9cdb2bc319029ebae2.xml
Pascal_tomato\train\025_8_jpg.rf.45560dd7a56b8809a75c12657a3a8269.jpg,Pascal_tomato\train\025_8_jpg.rf.45560dd7a56b8809a75c12657a3a8269.xml
Pascal_tomato\train\025_8_jpg.rf.cfc9995f60aa7dcce2e13b987a937dc4.jpg,Pascal_tomato\train\025_8_jpg.rf.cfc9995f60aa7dcce2e13b987a937dc4.xml
Pascal_tomato\train\025_9_jpg.rf.c1ef882557839f67a0e17cae729e3114.jpg,Pascal_tomato\train\025_9_jpg.rf.c1ef882557839f67a0e17cae729e3114.xml
Pascal_tomato\train\026_10_jpg.rf.9e02673bf7f9b5a6ad0c1c87d104f888.jpg,Pascal_tomato\train\026_10_jpg.rf.9e02673bf7f9b5a6ad0c1c87d104f888.xml
Pascal_tomato\train\026_10_jpg.rf.f758426cff75285a17c6500ffcc362ac.jpg,Pascal_tomato\train\026_10_jpg.rf.f758426cff75285a17c6500ffcc362ac.xml
Pascal_tomato\train\026_15_jpg.rf.b06d687cb116a77b5ab6391450b83bcd.jpg,Pascal_tomato\train\026_15_jpg.rf.b06d687cb116a77b5ab6391450b83bcd.xml
Pascal_tomato\train\026_1_jpg.rf.7306453dec8b09fd67914712af12459b.jpg,Pascal_tomato\train\026_1_jpg.rf.7306453dec8b09fd67914712af12459b.xml
Pascal_tomato\train\026_21_jpg.rf.897bd3ddb8ecfa1a69e35de144c91557.jpg,Pascal_tomato\train\026_21_jpg.rf.897bd3ddb8ecfa1a69e35de144c91557.xml
Pascal_tomato\train\026_21_jpg.rf.d59accf92b9138ce4b9541b747c1a22d.jpg,Pascal_tomato\train\026_21_jpg.rf.d59accf92b9138ce4b9541b747c1a22d.xml
Pascal_tomato\train\026_23_jpg.rf.113c2b138b2b389b399faedf690f47b1.jpg,Pascal_tomato\train\026_23_jpg.rf.113c2b138b2b389b399faedf690f47b1.xml
Pascal_tomato\train\026_24_jpg.rf.24be602fa27f5b64ddac3d6e5d4b4a64.jpg,Pascal_tomato\train\026_24_jpg.rf.24be602fa27f5b64ddac3d6e5d4b4a64.xml
Pascal_tomato\train\026_24_jpg.rf.767f794528b12fef0bcb4b18a64a7b54.jpg,Pascal_tomato\train\026_24_jpg.rf.767f794528b12fef0bcb4b18a64a7b54.xml
Pascal_tomato\train\026_2_jpg.rf.7369e3d73ab5cb32a5a5f1330bb4aff4.jpg,Pascal_tomato\train\026_2_jpg.rf.7369e3d73ab5cb32a5a5f1330bb4aff4.xml
Pascal_tomato\train\026_3_jpg.rf.2fa450ba1d29534ffb4afd91d0815618.jpg,Pascal_tomato\train\026_3_jpg.rf.2fa450ba1d29534ffb4afd91d0815618.xml
Pascal_tomato\train\026_3_jpg.rf.75c2eba56bad5158606f0cf3a629fde8.jpg,Pascal_tomato\train\026_3_jpg.rf.75c2eba56bad5158606f0cf3a629fde8.xml
Pascal_tomato\train\026_4_jpg.rf.df99656f9548912fdb5c98cf4416bb21.jpg,Pascal_tomato\train\026_4_jpg.rf.df99656f9548912fdb5c98cf4416bb21.xml
Pascal_tomato\train\026_4_jpg.rf.e0ab02e0e7168ec6083405a8b35c6df8.jpg,Pascal_tomato\train\026_4_jpg.rf.e0ab02e0e7168ec6083405a8b35c6df8.xml
Pascal_tomato\train\026_7_jpg.rf.4c339c1ff252291c773811a913bccf2f.jpg,Pascal_tomato\train\026_7_jpg.rf.4c339c1ff252291c773811a913bccf2f.xml
Pascal_tomato\train\026_7_jpg.rf.d87442c9ee0259ee6596b6f3fa3979f6.jpg,Pascal_tomato\train\026_7_jpg.rf.d87442c9ee0259ee6596b6f3fa3979f6.xml
Pascal_tomato\train\026_9_jpg.rf.1afa3d514600dd2c05519c37febfe6c5.jpg,Pascal_tomato\train\026_9_jpg.rf.1afa3d514600dd2c05519c37febfe6c5.xml
Pascal_tomato\train\026_9_jpg.rf.f495fb6e3d36b248252e1f3657da69ec.jpg,Pascal_tomato\train\026_9_jpg.rf.f495fb6e3d36b248252e1f3657da69ec.xml
Pascal_tomato\train\028_14_jpg.rf.8d04a25c99da93255c11840af2611c2e.jpg,Pascal_tomato\train\028_14_jpg.rf.8d04a25c99da93255c11840af2611c2e.xml
Pascal_tomato\train\028_14_jpg.rf.f5b1adab0ff466a63fa4de13d33fc79c.jpg,Pascal_tomato\train\028_14_jpg.rf.f5b1adab0ff466a63fa4de13d33fc79c.xml
Pascal_tomato\train\028_15_jpg.rf.a6bac7384d924b36937c4f1d2e323b22.jpg,Pascal_tomato\train\028_15_jpg.rf.a6bac7384d924b36937c4f1d2e323b22.xml
Pascal_tomato\train\028_15_jpg.rf.d0eb92ca9832eb5eff3788423f3f9675.jpg,Pascal_tomato\train\028_15_jpg.rf.d0eb92ca9832eb5eff3788423f3f9675.xml
Pascal_tomato\train\028_1_jpg.rf.5888b38332f2562b9a8950dd03b7e09e.jpg,Pascal_tomato\train\028_1_jpg.rf.5888b38332f2562b9a8950dd03b7e09e.xml
Pascal_tomato\train\028_1_jpg.rf.c58f34cca61b81d957e2a67b38f1f8ff.jpg,Pascal_tomato\train\028_1_jpg.rf.c58f34cca61b81d957e2a67b38f1f8ff.xml
Pascal_tomato\train\028_2_jpg.rf.61691e341f00d8d867b784e536691170.jpg,Pascal_tomato\train\028_2_jpg.rf.61691e341f00d8d867b784e536691170.xml
Pascal_tomato\train\028_2_jpg.rf.766cf8c6a1299e244228a756b314423c.jpg,Pascal_tomato\train\028_2_jpg.rf.766cf8c6a1299e244228a756b314423c.xml
Pascal_tomato\train\028_3_jpg.rf.d7be95fa015532b17a107a7467c85aae.jpg,Pascal_tomato\train\028_3_jpg.rf.d7be95fa015532b17a107a7467c85aae.xml
Pascal_tomato\train\028_3_jpg.rf.e98e1c3ddb1fd9d23dc1fe3e84078020.jpg,Pascal_tomato\train\028_3_jpg.rf.e98e1c3ddb1fd9d23dc1fe3e84078020.xml
Pascal_tomato\train\028_6_jpg.rf.33854a65f74de8ed11798a88b0045eda.jpg,Pascal_tomato\train\028_6_jpg.rf.33854a65f74de8ed11798a88b0045eda.xml
Pascal_tomato\train\028_6_jpg.rf.44b9493efe35bdd66c30add609d2fbcd.jpg,Pascal_tomato\train\028_6_jpg.rf.44b9493efe35bdd66c30add609d2fbcd.xml
Pascal_tomato\train\028_7_jpg.rf.4b809d2eb7f045041877bdafc725bd04.jpg,Pascal_tomato\train\028_7_jpg.rf.4b809d2eb7f045041877bdafc725bd04.xml
Pascal_tomato\train\028_7_jpg.rf.8c8a0c3691054e7a1852ca8ccfa298d8.jpg,Pascal_tomato\train\028_7_jpg.rf.8c8a0c3691054e7a1852ca8ccfa298d8.xml
Pascal_tomato\train\028_9_jpg.rf.09b19ef9b196d27a5724e91487328586.jpg,Pascal_tomato\train\028_9_jpg.rf.09b19ef9b196d27a5724e91487328586.xml
Pascal_tomato\train\028_9_jpg.rf.9a2ef2de18bfac79fc31a54dd4bd286e.jpg,Pascal_tomato\train\028_9_jpg.rf.9a2ef2de18bfac79fc31a54dd4bd286e.xml
Pascal_tomato\train\036_21_jpg.rf.0b7bed9edda4c62239ce69625d80b6db.jpg,Pascal_tomato\train\036_21_jpg.rf.0b7bed9edda4c62239ce69625d80b6db.xml
Pascal_tomato\train\036_21_jpg.rf.a1575cba14540d8139ff565ab480513a.jpg,Pascal_tomato\train\036_21_jpg.rf.a1575cba14540d8139ff565ab480513a.xml
Pascal_tomato\train\036_3_jpg.rf.163647c9716beb7362fd5ddd311ac9b4.jpg,Pascal_tomato\train\036_3_jpg.rf.163647c9716beb7362fd5ddd311ac9b4.xml
Pascal_tomato\train\037_16_jpg.rf.46092f275db07b025bc0dbb0e5534406.jpg,Pascal_tomato\train\037_16_jpg.rf.46092f275db07b025bc0dbb0e5534406.xml
Pascal_tomato\train\037_16_jpg.rf.b3f20a90f3c9b4625a8a42c291aba9c4.jpg,Pascal_tomato\train\037_16_jpg.rf.b3f20a90f3c9b4625a8a42c291aba9c4.xml
Pascal_tomato\train\037_1_jpg.rf.5586259320db289f7668b67b1353d679.jpg,Pascal_tomato\train\037_1_jpg.rf.5586259320db289f7668b67b1353d679.xml
Pascal_tomato\train\037_1_jpg.rf.b1518b8d040d58be88352d397bbbc6d5.jpg,Pascal_tomato\train\037_1_jpg.rf.b1518b8d040d58be88352d397bbbc6d5.xml
Pascal_tomato\train\037_21_jpg.rf.21a8840eb336cde2e7ca2d868aa6fd96.jpg,Pascal_tomato\train\037_21_jpg.rf.21a8840eb336cde2e7ca2d868aa6fd96.xml
Pascal_tomato\train\037_21_jpg.rf.ef93458b825ebaceb89c79ca13e3de98.jpg,Pascal_tomato\train\037_21_jpg.rf.ef93458b825ebaceb89c79ca13e3de98.xml
Pascal_tomato\train\037_22_jpg.rf.17cd717b9115df6a34d7397f0bee30e4.jpg,Pascal_tomato\train\037_22_jpg.rf.17cd717b9115df6a34d7397f0bee30e4.xml
Pascal_tomato\train\037_22_jpg.rf.7959ea28f4fc1f77305fc8dfa41af2ea.jpg,Pascal_tomato\train\037_22_jpg.rf.7959ea28f4fc1f77305fc8dfa41af2ea.xml
Pascal_tomato\train\037_3_jpg.rf.0453863e9c97579d8bb9a77654ad57ec.jpg,Pascal_tomato\train\037_3_jpg.rf.0453863e9c97579d8bb9a77654ad57ec.xml
Pascal_tomato\train\037_3_jpg.rf.8057ff0882eeaf478f74f81fd003a6a8.jpg,Pascal_tomato\train\037_3_jpg.rf.8057ff0882eeaf478f74f81fd003a6a8.xml
Pascal_tomato\train\037_4_jpg.rf.250a14e4aef79597e11d05b4ff7f64c9.jpg,Pascal_tomato\train\037_4_jpg.rf.250a14e4aef79597e11d05b4ff7f64c9.xml
Pascal_tomato\train\037_4_jpg.rf.dcc9e111ee752bf94c853042bfe65453.jpg,Pascal_tomato\train\037_4_jpg.rf.dcc9e111ee752bf94c853042bfe65453.xml
Pascal_tomato\train\037_6_jpg.rf.086600c628fa1320a635e11023f06083.jpg,Pascal_tomato\train\037_6_jpg.rf.086600c628fa1320a635e11023f06083.xml
Pascal_tomato\train\037_6_jpg.rf.bd14a165046ca6aebd8aacf55d9b684f.jpg,Pascal_tomato\train\037_6_jpg.rf.bd14a165046ca6aebd8aacf55d9b684f.xml
Pascal_tomato\train\037_7_jpg.rf.0d07e62f77a2e050e7f83e1f98136904.jpg,Pascal_tomato\train\037_7_jpg.rf.0d07e62f77a2e050e7f83e1f98136904.xml
Pascal_tomato\train\037_7_jpg.rf.749d25d5f644f8618b5f9f8cf9b6ac33.jpg,Pascal_tomato\train\037_7_jpg.rf.749d25d5f644f8618b5f9f8cf9b6ac33.xml
Pascal_tomato\train\040_11_jpg.rf.6fb96130f51f8d4a13082c7d628a4f4b.jpg,Pascal_tomato\train\040_11_jpg.rf.6fb96130f51f8d4a13082c7d628a4f4b.xml
Pascal_tomato\train\040_11_jpg.rf.7262549a1f66471478c4c2eba1879d99.jpg,Pascal_tomato\train\040_11_jpg.rf.7262549a1f66471478c4c2eba1879d99.xml
Pascal_tomato\train\040_12_jpg.rf.cb0f540fc0ca7bc3d4eff4b7fa9bb3e4.jpg,Pascal_tomato\train\040_12_jpg.rf.cb0f540fc0ca7bc3d4eff4b7fa9bb3e4.xml
Pascal_tomato\train\040_16_jpg.rf.e0fbd7ccbf32b0ab6c4376fcaa052788.jpg,Pascal_tomato\train\040_16_jpg.rf.e0fbd7ccbf32b0ab6c4376fcaa052788.xml
Pascal_tomato\train\040_16_jpg.rf.fe6816621b5e4116de873bc0b7185f52.jpg,Pascal_tomato\train\040_16_jpg.rf.fe6816621b5e4116de873bc0b7185f52.xml
Pascal_tomato\train\040_17_jpg.rf.14c449926db8fc6660c8ee9eb445b301.jpg,Pascal_tomato\train\040_17_jpg.rf.14c449926db8fc6660c8ee9eb445b301.xml
Pascal_tomato\train\040_17_jpg.rf.f9b6d1de342a837d5796e0b8c02614f1.jpg,Pascal_tomato\train\040_17_jpg.rf.f9b6d1de342a837d5796e0b8c02614f1.xml
Pascal_tomato\train\040_22_jpg.rf.7d4a149ebd717d990d37c8e51ef95d99.jpg,Pascal_tomato\train\040_22_jpg.rf.7d4a149ebd717d990d37c8e51ef95d99.xml
Pascal_tomato\train\040_3_jpg.rf.dfb22aec1f10c0326516a38bad2777c2.jpg,Pascal_tomato\train\040_3_jpg.rf.dfb22aec1f10c0326516a38bad2777c2.xml
Pascal_tomato\train\040_4_jpg.rf.0056b413cb03b8bb7e6ce38db660afc2.jpg,Pascal_tomato\train\040_4_jpg.rf.0056b413cb03b8bb7e6ce38db660afc2.xml
Pascal_tomato\train\040_6_jpg.rf.634429170177c9a4bb926a99332e1a4b.jpg,Pascal_tomato\train\040_6_jpg.rf.634429170177c9a4bb926a99332e1a4b.xml
Pascal_tomato\train\040_6_jpg.rf.904622f7f52e0d4f73a9d93b62bc9003.jpg,Pascal_tomato\train\040_6_jpg.rf.904622f7f52e0d4f73a9d93b62bc9003.xml
Pascal_tomato\train\040_7_jpg.rf.8722f6a49d7b73a5801295ebc55a7f21.jpg,Pascal_tomato\train\040_7_jpg.rf.8722f6a49d7b73a5801295ebc55a7f21.xml
Pascal_tomato\train\042_11_jpg.rf.a1fb0e8a0f34eba2313ad8c1d983c613.jpg,Pascal_tomato\train\042_11_jpg.rf.a1fb0e8a0f34eba2313ad8c1d983c613.xml
Pascal_tomato\train\042_11_jpg.rf.f59f9c86125292142a099506db9ed31d.jpg,Pascal_tomato\train\042_11_jpg.rf.f59f9c86125292142a099506db9ed31d.xml
Pascal_tomato\train\042_16_jpg.rf.32ac1e8ddc5853713bc531fdc55f588d.jpg,Pascal_tomato\train\042_16_jpg.rf.32ac1e8ddc5853713bc531fdc55f588d.xml
Pascal_tomato\train\042_16_jpg.rf.c02a94c13e958248df4d006379c8cdfd.jpg,Pascal_tomato\train\042_16_jpg.rf.c02a94c13e958248df4d006379c8cdfd.xml
Pascal_tomato\train\042_17_jpg.rf.8b75e787cfbf09a2e3280b0ddae0e40d.jpg,Pascal_tomato\train\042_17_jpg.rf.8b75e787cfbf09a2e3280b0ddae0e40d.xml
Pascal_tomato\train\042_17_jpg.rf.94342c28552ee556323ff3af1820bfa0.jpg,Pascal_tomato\train\042_17_jpg.rf.94342c28552ee556323ff3af1820bfa0.xml
Pascal_tomato\train\042_23_jpg.rf.2be74129d3661a02df77a4fb3813e24b.jpg,Pascal_tomato\train\042_23_jpg.rf.2be74129d3661a02df77a4fb3813e24b.xml
Pascal_tomato\train\042_23_jpg.rf.d4cc12e2a32a15a6e337e1427841265f.jpg,Pascal_tomato\train\042_23_jpg.rf.d4cc12e2a32a15a6e337e1427841265f.xml
Pascal_tomato\train\042_24_jpg.rf.aa03e6a6f4bbc9e7f1c298df1b597096.jpg,Pascal_tomato\train\042_24_jpg.rf.aa03e6a6f4bbc9e7f1c298df1b597096.xml
Pascal_tomato\train\042_24_jpg.rf.e99728ce9323b1792b3e2edaa924c9b0.jpg,Pascal_tomato\train\042_24_jpg.rf.e99728ce9323b1792b3e2edaa924c9b0.xml
Pascal_tomato\train\042_2_jpg.rf.0e0c385d84161ca1d6b6d3deec1de570.jpg,Pascal_tomato\train\042_2_jpg.rf.0e0c385d84161ca1d6b6d3deec1de570.xml
Pascal_tomato\train\042_2_jpg.rf.d916b061c39eff2a40b7ace1e951bc37.jpg,Pascal_tomato\train\042_2_jpg.rf.d916b061c39eff2a40b7ace1e951bc37.xml
Pascal_tomato\train\051_11_jpg.rf.3907b6990a84dc6d5cdd52e0d1bbb92a.jpg,Pascal_tomato\train\051_11_jpg.rf.3907b6990a84dc6d5cdd52e0d1bbb92a.xml
Pascal_tomato\train\051_14_jpg.rf.9462d96dd092f5712ea64f949d707c5f.jpg,Pascal_tomato\train\051_14_jpg.rf.9462d96dd092f5712ea64f949d707c5f.xml
Pascal_tomato\train\051_14_jpg.rf.a53f35697bd7f2ab86c8c86a1eabd755.jpg,Pascal_tomato\train\051_14_jpg.rf.a53f35697bd7f2ab86c8c86a1eabd755.xml
Pascal_tomato\train\051_16_jpg.rf.06f7b94c77f7a83cfd18ffe569b22c27.jpg,Pascal_tomato\train\051_16_jpg.rf.06f7b94c77f7a83cfd18ffe569b22c27.xml
Pascal_tomato\train\051_16_jpg.rf.c3a414f2c302eb72d8eed3202896de6d.jpg,Pascal_tomato\train\051_16_jpg.rf.c3a414f2c302eb72d8eed3202896de6d.xml
Pascal_tomato\train\051_17_jpg.rf.935be7571a83fc06a8e848fe017fa369.jpg,Pascal_tomato\train\051_17_jpg.rf.935be7571a83fc06a8e848fe017fa369.xml
Pascal_tomato\train\051_19_jpg.rf.91e5b59436e385cac20469f03f61607d.jpg,Pascal_tomato\train\051_19_jpg.rf.91e5b59436e385cac20469f03f61607d.xml
Pascal_tomato\train\051_1_jpg.rf.c7b682394005db3659511c2fc621af68.jpg,Pascal_tomato\train\051_1_jpg.rf.c7b682394005db3659511c2fc621af68.xml
Pascal_tomato\train\051_1_jpg.rf.d0e7f83446c3d235a73e1c6ac521802f.jpg,Pascal_tomato\train\051_1_jpg.rf.d0e7f83446c3d235a73e1c6ac521802f.xml
Pascal_tomato\train\051_20_jpg.rf.703a5783dc8a444e571da6416b1c9093.jpg,Pascal_tomato\train\051_20_jpg.rf.703a5783dc8a444e571da6416b1c9093.xml
Pascal_tomato\train\051_21_jpg.rf.7b3870fdf192c6b5ca1cb94d6f9a9d48.jpg,Pascal_tomato\train\051_21_jpg.rf.7b3870fdf192c6b5ca1cb94d6f9a9d48.xml
Pascal_tomato\train\051_21_jpg.rf.c4de36804c504f7fee4fbfdfe6dd91ca.jpg,Pascal_tomato\train\051_21_jpg.rf.c4de36804c504f7fee4fbfdfe6dd91ca.xml
Pascal_tomato\train\051_23_jpg.rf.7ae7a334f522cee488b9f20da7f979bb.jpg,Pascal_tomato\train\051_23_jpg.rf.7ae7a334f522cee488b9f20da7f979bb.xml
Pascal_tomato\train\051_24_jpg.rf.ea7f010d11552a123042599a08a3fa4b.jpg,Pascal_tomato\train\051_24_jpg.rf.ea7f010d11552a123042599a08a3fa4b.xml
Pascal_tomato\train\051_2_jpg.rf.4944ba2ca0a81b4c1f623a151d47ac5f.jpg,Pascal_tomato\train\051_2_jpg.rf.4944ba2ca0a81b4c1f623a151d47ac5f.xml
Pascal_tomato\train\051_2_jpg.rf.c9ad040682cfb910430123e340065857.jpg,Pascal_tomato\train\051_2_jpg.rf.c9ad040682cfb910430123e340065857.xml
Pascal_tomato\train\051_7_jpg.rf.72158c87d2f039d95eed1a25e7178de4.jpg,Pascal_tomato\train\051_7_jpg.rf.72158c87d2f039d95eed1a25e7178de4.xml
Pascal_tomato\train\059_12_jpg.rf.333e933640e6c9149e3eda4d99b9df6c.jpg,Pascal_tomato\train\059_12_jpg.rf.333e933640e6c9149e3eda4d99b9df6c.xml
Pascal_tomato\train\059_12_jpg.rf.97c0007ead9550d6043e135d7950b64c.jpg,Pascal_tomato\train\059_12_jpg.rf.97c0007ead9550d6043e135d7950b64c.xml
Pascal_tomato\train\059_13_jpg.rf.2274fdf94de5538a00cc158908951efb.jpg,Pascal_tomato\train\059_13_jpg.rf.2274fdf94de5538a00cc158908951efb.xml
Pascal_tomato\train\059_13_jpg.rf.932317b03fa8b8fd6e8683aca15ca4de.jpg,Pascal_tomato\train\059_13_jpg.rf.932317b03fa8b8fd6e8683aca15ca4de.xml
Pascal_tomato\train\059_14_jpg.rf.1a2059f5bf4c5ceab55ddd79c9ca62c1.jpg,Pascal_tomato\train\059_14_jpg.rf.1a2059f5bf4c5ceab55ddd79c9ca62c1.xml
